🇨🇳央视频道,#genre#
天津卫视,http://39.135.136.69/wh7f454c46tw3510115320_-1895997746/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8?icpid=88888888&RTS=1749481128&from=5&hms_devid=1141&online=1749481128&vqe=3
河南卫视,http://39.135.136.71/wh7f454c46tw3519850304_1437937288/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8?icpid=88888888&RTS=1749481138&from=5&hms_devid=1142&online=1749481138&vqe=3
河北卫视,http://39.134.67.136/wh7f454c46tw3528663055_803001726/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8?icpid=88888888&RTS=1749481147&from=5&hms_devid=712&online=1749481147&vqe=3
山东卫视,http://39.134.67.146/wh7f454c46tw3538620924_1042518598/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8?icpid=88888888&RTS=1749481157&from=5&hms_devid=979&online=1749481157&vqe=3
安徽卫视,http://39.135.136.71/wh7f454c46tw3546583050_970245099/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8?icpid=88888888&RTS=1749481165&from=5&hms_devid=1142&online=1749481165&vqe=3
湖北卫视,http://39.135.136.71/wh7f454c46tw3554477256_431716926/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8?icpid=88888888&RTS=1749481173&from=5&hms_devid=1142&online=1749481173&vqe=3
四川卫视,http://39.135.136.69/wh7f454c46tw3565287410_-2077035459/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8?icpid=88888888&RTS=1749481183&from=5&hms_devid=1141&online=1749481183&vqe=3
重庆卫视,http://39.134.67.155/wh7f454c46tw3574080032_-496522208/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8?icpid=88888888&RTS=1749481192&from=5&hms_devid=1102&online=1749481192&vqe=3
贵州卫视,http://39.135.136.66/wh7f454c46tw3582873753_617646080/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8?icpid=88888888&RTS=1749481201&from=5&hms_devid=1140&online=1749481201&vqe=3
江西卫视,http://39.135.136.66/wh7f454c46tw3591129492_1529679113/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8?icpid=88888888&RTS=1749481209&from=5&hms_devid=1140&online=1749481209&vqe=3
深圳卫视,http://39.134.67.153/wh7f454c46tw3599866824_-2099179866/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8?icpid=88888888&RTS=1749481218&from=5&hms_devid=978&online=1749481218&vqe=3
广东卫视,http://39.134.67.137/wh7f454c46tw3614918048_-787734431/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8?icpid=88888888&RTS=1749481233&from=5&hms_devid=712&online=1749481233&vqe=3
广西卫视,http://39.135.133.2/wh7f454c46tw3625070274_488250763/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8?icpid=88888888&RTS=1749481243&from=5&hms_devid=1257&online=1749481243&vqe=3
东南卫视,http://39.134.67.146/wh7f454c46tw3635474399_-1333449751/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8?icpid=88888888&RTS=1749481254&from=5&hms_devid=979&online=1749481254&vqe=3
海南卫视,http://39.134.67.155/wh7f454c46tw3643149803_-1527212858/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8?icpid=88888888&RTS=1749481261&from=5&hms_devid=1102&online=1749481261&vqe=3
北京纪实,http://39.134.67.147/wh7f454c46tw3656209816_-1863263129/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8?icpid=88888888&RTS=1749481274&from=5&hms_devid=979&online=1749481274&vqe=3
🇨🇳黑龙江频道,#genre#
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
黑龙江少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
黑龙江影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8
黑龙江文体,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8
黑龙江新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226330/index.m3u8
黑龙江都市,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
鹤岗新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226534/index.m3u8
哈尔滨新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226434/index.m3u8
佳木斯新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226451/index.m3u8
🇨🇳数字系列,#genre#
超级电视剧,http://39.134.67.150/wh7f454c46tw3687595390_-978107533/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8?icpid=88888888&RTS=1749481306&from=5&hms_devid=977&online=1749481306&vqe=3
超级电影,http://39.135.136.70/wh7f454c46tw3696820743_-1832815658/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8?icpid=88888888&RTS=1749481315&from=5&hms_devid=1142&online=1749481315&vqe=3
超级体育,http://39.134.67.155/wh7f454c46tw3704578666_549849289/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8?icpid=88888888&RTS=1749481323&from=5&hms_devid=1102&online=1749481323&vqe=3
超级综艺,http://39.134.67.154/wh7f454c46tw3715863046_1242192534/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8?icpid=88888888&RTS=1749481334&from=5&hms_devid=1102&online=1749481334&vqe=3
东北热剧,http://39.134.67.137/wh7f454c46tw3739695834_-2027255172/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8?icpid=88888888&RTS=1749481358&from=5&hms_devid=712&online=1749481358&vqe=3
