河北1套联通,#genre#
巨鹿电视,http://101.17.113.135:9999/rtp/239.253.92.254:6449
临西电视,http://101.17.113.135:9999/rtp/239.253.94.29:6628
冀州电视,http://101.17.113.135:9999/rtp/239.253.93.34:6187
安平电视,http://101.17.113.135:9999/rtp/239.253.93.36:6189
景县电视,http://101.17.113.135:9999/rtp/239.253.93.38:6191
饶阳电视,http://101.17.113.135:9999/rtp/239.253.93.40:6193
深州电视,http://101.17.113.135:9999/rtp/239.253.93.42:6195
武强电视,http://101.17.113.135:9999/rtp/239.253.93.79:6245
阜城电视,http://101.17.113.135:9999/rtp/239.253.93.168:6336
故城电视,http://101.17.113.135:9999/rtp/239.253.93.161:6329
枣强电视,http://101.17.113.135:9999/rtp/239.253.93.166:6334
清河电视,http://101.17.113.135:9999/rtp/239.253.93.44:6197
广宗电视,http://101.17.113.135:9999/rtp/239.253.93.50:6203
武安电视,http://101.17.113.135:9999/rtp/239.253.93.62:6215
宁晋电视,http://101.17.113.135:9999/rtp/239.253.93.51:6204
平乡电视,http://101.17.113.135:9999/rtp/239.253.93.53:6206
鸡泽电视,http://101.17.113.135:9999/rtp/239.253.93.64:6219
隆尧电视,http://101.17.113.135:9999/rtp/239.253.93.65:6230
广平电视,http://101.17.113.135:9999/rtp/239.253.93.66:6231
南和电视,http://101.17.113.135:9999/rtp/239.253.93.80:6246
临漳电视,http://101.17.113.135:9999/rtp/239.253.93.84:6250
内丘电视,http://101.17.113.135:9999/rtp/239.253.93.102:6268
涉县电视,http://101.17.113.135:9999/rtp/239.253.93.106:6273
迁安电视,http://101.17.113.135:9999/rtp/239.253.93.113:6280
馆陶电视,http://101.17.113.135:9999/rtp/239.253.93.115:6282
乐亭电视,http://101.17.113.135:9999/rtp/239.253.93.250:6290
沙河电视,http://101.17.113.135:9999/rtp/239.253.93.179:6347
曲周电视,http://101.17.113.135:9999/rtp/239.253.93.54:6207
南宫电视,http://101.17.113.135:9999/rtp/239.253.93.48:6201
丰润电视,http://101.17.113.135:9999/rtp/239.253.92.252:6156
纪实人文高清,http://101.17.113.135:9999/rtp/239.253.92.99:6013
中国教育-1高清,http://101.17.113.135:9999/rtp/239.253.92.211:6069
